product_id,product_name,department,forecast_date,day_of_week,is_weekend,month,festival_flag,predicted_units,predicted_units_lower,predicted_units_upper,recommended_price,predicted_revenue,confidence_pct,model_used,store_id
33627,Mix Popcorn,snacks,2024-07-01,0,0,7,0,49.3,29.5,69.0,4.07,200.53,89.2,Trend+Seasonal,1
33627,Mix Popcorn,snacks,2024-07-02,1,0,7,0,40.1,20.3,59.8,4.07,163.01,86.1,Trend+Seasonal,1
33627,Mix Popcorn,snacks,2024-07-03,2,0,7,0,51.0,31.3,70.8,4.07,207.7,85.2,Trend+Seasonal,1
33627,Mix Popcorn,snacks,2024-07-04,3,0,7,0,53.9,34.1,73.6,4.07,219.24,88.7,Trend+Seasonal,1
33627,Mix Popcorn,snacks,2024-07-05,4,0,7,0,46.8,27.0,66.6,4.07,190.46,74.9,Trend+Seasonal,1
33627,Mix Popcorn,snacks,2024-07-06,5,1,7,0,53.6,33.8,73.3,4.07,217.95,91.7,Trend+Seasonal,1
33627,Mix Popcorn,snacks,2024-07-07,6,1,7,0,65.6,45.8,85.4,4.07,267.0,74.0,Trend+Seasonal,1
33627,Mix Popcorn,snacks,2024-07-08,0,0,7,0,47.7,27.9,67.4,4.07,194.09,82.5,Trend+Seasonal,1
33627,Mix Popcorn,snacks,2024-07-09,1,0,7,0,39.8,20.0,59.6,4.07,161.98,90.3,Trend+Seasonal,1
33627,Mix Popcorn,snacks,2024-07-10,2,0,7,0,52.2,32.4,72.0,4.07,212.44,91.4,Trend+Seasonal,1
33627,Mix Popcorn,snacks,2024-07-11,3,0,7,0,45.5,25.7,65.2,4.07,185.05,89.0,Trend+Seasonal,1
33627,Mix Popcorn,snacks,2024-07-12,4,0,7,0,49.5,29.7,69.2,4.07,201.43,88.6,Trend+Seasonal,1
33627,Mix Popcorn,snacks,2024-07-13,5,1,7,0,66.6,46.8,86.3,4.07,270.98,70.8,Trend+Seasonal,1
33627,Mix Popcorn,snacks,2024-07-14,6,1,7,0,57.6,37.9,77.4,4.07,234.52,83.1,Trend+Seasonal,1
33627,Mix Popcorn,snacks,2024-07-15,0,0,7,0,42.1,22.4,61.9,4.07,171.43,71.7,Trend+Seasonal,1
33627,Mix Popcorn,snacks,2024-07-16,1,0,7,0,42.6,22.9,62.4,4.07,173.43,85.3,Trend+Seasonal,1
33627,Mix Popcorn,snacks,2024-07-17,2,0,7,0,51.6,31.9,71.4,4.07,210.16,71.4,Trend+Seasonal,1
33627,Mix Popcorn,snacks,2024-07-18,3,0,7,0,38.6,18.9,58.4,4.07,157.26,76.9,Trend+Seasonal,1
33627,Mix Popcorn,snacks,2024-07-19,4,0,7,0,52.3,32.5,72.0,4.07,212.73,77.0,Trend+Seasonal,1
33627,Mix Popcorn,snacks,2024-07-20,5,1,7,0,59.8,40.1,79.6,4.07,243.42,83.8,Trend+Seasonal,1
33627,Mix Popcorn,snacks,2024-07-21,6,1,7,0,59.9,40.1,79.6,4.07,243.74,75.1,Trend+Seasonal,1
33627,Mix Popcorn,snacks,2024-07-22,0,0,7,0,48.2,28.5,68.0,4.07,196.21,70.5,Trend+Seasonal,1
33627,Mix Popcorn,snacks,2024-07-23,1,0,7,0,43.2,23.4,62.9,4.07,175.71,90.7,Trend+Seasonal,1
33627,Mix Popcorn,snacks,2024-07-24,2,0,7,0,48.7,29.0,68.5,4.07,198.41,87.6,Trend+Seasonal,1
33627,Mix Popcorn,snacks,2024-07-25,3,0,7,0,39.1,19.4,58.9,4.07,159.2,80.6,Trend+Seasonal,1
33627,Mix Popcorn,snacks,2024-07-26,4,0,7,0,50.3,30.5,70.0,4.07,204.66,83.8,Trend+Seasonal,1
33627,Mix Popcorn,snacks,2024-07-27,5,1,7,0,53.6,33.9,73.4,4.07,218.26,79.3,Trend+Seasonal,1
