transaction_id,product_id,product_name,department,date,day_of_week,is_weekend,month,peak_hour,festival_flag,base_price,discount_pct,current_price,cost_price,inventory_level,inventory_ratio,units_sold,revenue,profit,store_id
1,33627,Mix Popcorn,snacks,2024-01-01,0,0,1,19,0,5.31,0.0,5.31,3.13,63,0.63,56,297.36,122.08,1
2,33627,Mix Popcorn,snacks,2024-01-02,1,0,1,20,0,5.31,0.0,5.31,3.13,75,0.75,60,318.6,130.8,1
3,33627,Mix Popcorn,snacks,2024-01-03,2,0,1,8,0,5.31,0.0,5.31,3.13,44,0.44,44,233.64,95.92,1
4,33627,Mix Popcorn,snacks,2024-01-04,3,0,1,18,0,5.31,0.0,5.31,3.13,52,0.52,52,276.12,113.36,1
5,33627,Mix Popcorn,snacks,2024-01-05,4,0,1,9,0,5.31,0.0,5.31,3.13,35,0.35,35,185.85,76.3,1
6,33627,Mix Popcorn,snacks,2024-01-06,5,1,1,19,0,5.31,0.0,5.31,3.13,42,0.42,42,223.02,91.56,1
7,33627,Mix Popcorn,snacks,2024-01-07,6,1,1,18,0,5.31,0.0,5.31,3.13,77,0.77,72,382.32,156.96,1
8,33627,Mix Popcorn,snacks,2024-01-08,0,0,1,19,0,5.31,0.0,5.31,3.13,0,0.0,0,0.0,0.0,1
9,33627,Mix Popcorn,snacks,2024-01-09,1,0,1,19,0,5.31,0.0,5.31,3.13,8,0.08,8,42.48,17.44,1
10,33627,Mix Popcorn,snacks,2024-01-10,2,0,1,19,0,5.31,0.0,5.31,3.13,24,0.24,24,127.44,52.32,1
11,33627,Mix Popcorn,snacks,2024-01-11,3,0,1,17,0,5.31,0.0,5.31,3.13,70,0.7,49,260.19,106.82,1
12,33627,Mix Popcorn,snacks,2024-01-12,4,0,1,9,0,5.31,0.0,5.31,3.13,46,0.46,40,212.4,87.2,1
13,33627,Mix Popcorn,snacks,2024-01-13,5,1,1,10,0,5.31,0.0,5.31,3.13,49,0.49,49,260.19,106.82,1
14,33627,Mix Popcorn,snacks,2024-01-14,6,1,1,17,0,5.31,0.0,5.31,3.13,38,0.38,38,201.78,82.84,1
15,33627,Mix Popcorn,snacks,2024-01-15,0,0,1,19,0,5.31,0.0,5.31,3.13,49,0.49,46,244.26,100.28,1
16,33627,Mix Popcorn,snacks,2024-01-16,1,0,1,10,0,5.31,0.0,5.31,3.13,47,0.47,47,249.57,102.46,1
17,33627,Mix Popcorn,snacks,2024-01-17,2,0,1,19,0,5.31,0.0,5.31,3.13,30,0.3,30,159.3,65.4,1
18,33627,Mix Popcorn,snacks,2024-01-18,3,0,1,20,0,5.31,0.0,5.31,3.13,44,0.44,44,233.64,95.92,1
19,33627,Mix Popcorn,snacks,2024-01-19,4,0,1,19,0,5.31,0.0,5.31,3.13,66,0.66,60,318.6,130.8,1
20,33627,Mix Popcorn,snacks,2024-01-20,5,1,1,10,0,5.31,0.0,5.31,3.13,54,0.54,54,286.74,117.72,1
21,33627,Mix Popcorn,snacks,2024-01-21,6,1,1,19,0,5.31,0.0,5.31,3.13,41,0.41,41,217.71,89.38,1
22,33627,Mix Popcorn,snacks,2024-01-22,0,0,1,18,0,5.31,20.0,4.25,3.13,47,0.47,47,199.75,52.64,1
23,33627,Mix Popcorn,snacks,2024-01-23,1,0,1,17,0,5.31,0.0,5.31,3.13,16,0.16,16,84.96,34.88,1
24,33627,Mix Popcorn,snacks,2024-01-24,2,0,1,17,0,5.31,0.0,5.31,3.13,53,0.53,53,281.43,115.54,1
25,33627,Mix Popcorn,snacks,2024-01-25,3,0,1,17,0,5.31,0.0,5.31,3.13,5,0.05,5,26.55,10.9,1
26,33627,Mix Popcorn,snacks,2024-01-26,4,0,1,8,0,5.31,0.0,5.31,3.13,32,0.32,32,169.92,69.76,1
27,33627,Mix Popcorn,snacks,2024-01-27,5,1,1,8,0,5.31,0.0,5.31,3.13,31,0.31,31,164.61,67.58,1
28,33627,Mix Popcorn,snacks,2024-01-28,6,1,1,18,0,5.31,0.0,5.31,3.13,69,0.69,56,297.36,122.08,1
29,33627,Mix Popcorn,snacks,2024-01-29,0,0,1,18,0,5.31,20.0,4.25,3.13,68,0.68,68,289.0,76.16,1
30,33627,Mix Popcorn,snacks,2024-01-30,1,0,1,19,0,5.31,0.0,5.31,3.13,50,0.5,50,265.5,109.0,1
31,33627,Mix Popcorn,snacks,2024-01-31,2,0,1,9,0,5.31,0.0,5.31,3.13,42,0.42,42,223.02,91.56,1
32,33627,Mix Popcorn,snacks,2024-02-01,3,0,2,20,0,5.31,0.0,5.31,3.13,60,0.6,45,238.95,98.1,1
33,33627,Mix Popcorn,snacks,2024-02-02,4,0,2,20,0,5.31,0.0,5.31,3.13,31,0.31,31,164.61,67.58,1
34,33627,Mix Popcorn,snacks,2024-02-03,5,1,2,19,0,5.31,0.0,5.31,3.13,61,0.61,55,292.05,119.9,1
35,33627,Mix Popcorn,snacks,2024-02-04,6,1,2,9,0,5.31,0.0,5.31,3.13,81,0.81,62,329.22,135.16,1
36,33627,Mix Popcorn,snacks,2024-02-05,0,0,2,9,0,5.31,0.0,5.31,3.13,56,0.56,52,276.12,113.36,1
37,33627,Mix Popcorn,snacks,2024-02-06,1,0,2,17,0,5.31,0.0,5.31,3.13,42,0.42,41,217.71,89.38,1
38,33627,Mix Popcorn,snacks,2024-02-07,2,0,2,9,0,5.31,0.0,5.31,3.13,36,0.36,36,191.16,78.48,1
39,33627,Mix Popcorn,snacks,2024-02-08,3,0,2,20,0,5.31,0.0,5.31,3.13,38,0.38,38,201.78,82.84,1
40,33627,Mix Popcorn,snacks,2024-02-09,4,0,2,19,0,5.31,0.0,5.31,3.13,59,0.59,56,297.36,122.08,1
41,33627,Mix Popcorn,snacks,2024-02-10,5,1,2,17,0,5.31,0.0,5.31,3.13,90,0.9,71,377.01,154.78,1
42,33627,Mix Popcorn,snacks,2024-02-11,6,1,2,17,0,5.31,0.0,5.31,3.13,35,0.35,35,185.85,76.3,1
43,33627,Mix Popcorn,snacks,2024-02-12,0,0,2,19,0,5.31,20.0,4.25,3.13,63,0.63,56,238.0,62.72,1
44,33627,Mix Popcorn,snacks,2024-02-13,1,0,2,10,0,5.31,0.0,5.31,3.13,49,0.49,49,260.19,106.82,1
45,33627,Mix Popcorn,snacks,2024-02-14,2,0,2,19,0,5.31,0.0,5.31,3.13,35,0.35,35,185.85,76.3,1
46,33627,Mix Popcorn,snacks,2024-02-15,3,0,2,19,0,5.31,0.0,5.31,3.13,64,0.64,41,217.71,89.38,1
47,33627,Mix Popcorn,snacks,2024-02-16,4,0,2,17,0,5.31,0.0,5.31,3.13,43,0.43,43,228.33,93.74,1
48,33627,Mix Popcorn,snacks,2024-02-17,5,1,2,19,0,5.31,5.0,5.04,3.13,80,0.8,63,317.52,120.33,1
49,33627,Mix Popcorn,snacks,2024-02-18,6,1,2,9,0,5.31,0.0,5.31,3.13,26,0.26,26,138.06,56.68,1
